Question,Option0,Option1,Option2,Option3,Option4,Option5
"媽給你送錢包來啦 來 你看一下是不是這個
對 就是這個 你在哪裡找到它的
",你看 這是我新買的錢包,我的錢包不見了啦,以後上網咖的錢包在我身上,什麼有錢包場,早上你爸爸在車上找到的 一定是前天你放學的時候掉在車上了,我為什麼要給你們錢包
"古人說三日不讀書 面目可憎 我覺得我最近可能臉色太難看了
",所以想回復我昔日面貌姣好的樣子,是不是要定期來舉辦,各辦理一次才對,能夠督促所有的用人機關,在上次的節目討論中也有提到,超過九十分貝以上
"你說我們做父母的最擔心的就是這個
",我剛剛聽你媽說你要讀什麼科,其他老師又集體叛變,聽起來好好玩天啊,只是小孩自己的興趣不能得到發展 他們的心裡可能也會很悶喔,走到這裡就沒有路了耶,每一個科目像是國語數學都很優秀
"是不是因為以前你的書包太重了 所以你想要發明這個
",這個應該也是其中之一的原因,好神奇喔,它怎麼突然會這樣,那我去探索一下,牠會不會覺得很不開心 會生氣,我覺得很高興
"那可不見得 有錢能使鬼推磨
",好 這個就是我們今天比較級的用法,真的嗎 什麼禮物,有餅乾吃我也要吃,我知道隔壁班今天也有地理課 我陪你去借,什麼你說我是鬼,我表姊從國外帶回來的 送你一個
"真的嗎
當然是真的囉 如果你不相信的話 可以問姜老師啊
",老師常常看了都很感動,你不要太在意同學們怎麼想,老師先給你們一個功課,就是因為這樣 你們才要更包容他更鼓勵他,是啊 這點老師也可以證明喔,沒有人是十全十美的
"你今天是要介紹哪一位人物 讓我們認識呢
是和戲劇有關喔 特別是默劇
",我們不是當事人，不太方便回答相關問題,兩人得到了法國航空提供的巴黎來回機票,這個人我已經知道是誰啦 就是耿一偉老師嘛,墨西哥是自古以來就吃昆蟲的國家,兩人相繼離世 親朋好友皆非常感傷,善用資源聰明借款 早日實現買屋夢想
"輝哥 全部都被你吃了 你很過分
就兩顆 你還剩下這樣子 那我吃什麼
沒有 因為你們一直在問問題 我閒著無聊
",然後煮一煮就變成紅色的嗎,我就把它吃完了,現在要把那個木頭給粉碎掉,因為聽說以前是用燒的,會造成空氣污染,像他們現在這樣粉碎掉
"大嬸啊 我不是說過了嗎 我們村子都是善男信女 老弱婦孺 怎麼會是練功的料呢
",看來大家對男生女生應該有什麼樣子 還是有很刻板的印象喔,我們讀不讀書關你屁事啊 你管那麼多幹嘛,錯了 我們的武功是要教大家 以小博大 以柔克剛 男女老幼都可以學習的,所以做母親的 我們覺得非常了不起非常偉大,這次你就假裝沒看到,好 就交給你們
"你只要拿得到滅火器 就代表你的逃生動線是安全的 你就算火滅不掉
",防災達人接下來要突擊的,是位在桃園八德市的一家雜貨店,之前台語歌曲天后張秀卿,曾跟店主人共進晚餐,你還是可以跑出去,終於以超人的毅力
"你不知道那些狗仔 什麼時候又跑去 挖你那間舊房子的新聞
",這樣的工作不一定就是相對弱勢喔,不了解他人的利他 反而會造成更大的傷害,指考成績出爐,好啦 沒關係 心情放輕鬆一點,如果有工作後的學長姐分享會更棒,謝謝一如既往收看影片
"那你覺得應該收多少錢才好
大家同學嘛 也不能太貴 一次二十怎麼樣 薄利多銷
",也該畫上句點了,人有時會因為另外一個人 而改變,上次我不是跟你說 這個秘密基地漏水的事情嗎,你喔身在福中不知福,我們就可以測試它的溫度,還真的很不錯耶
"你最拿手的是什麼菜
",這你選的耶,可愛的小學生,電風扇,中獎就好了,炒高麗菜,找你三百九十一
